	true labels	predict_labels_l1	predict_labels_l2
0	control_local	control_local	control_local
1	control_local	control_local	control_local
2	control_local	control_local	control_local
3	control_local	control_local	control_local
4	control_local	control_local	control_local
5	onset	onset	onset
6	onset	onset	onset
7	onset	onset	onset
8	onset	onset	onset
9	onset	onset	onset
10	control_local	control_local	control_local
11	control_local	control_local	control_local
12	onset	control_local	onset
13	control_local	control_local	control_local
14	control_local	control_local	control_local
